artist_id,artist_name,nb_album,nb_fan,fan_band
2,The Clash,15,1661010,500K-5M
3,Snoop Dogg,202,7962166,Over 5M
9,Outkast,28,917514,500K-5M
11,The Rolling Stones,125,7097592,Over 5M
13,Eminem,68,19111164,Over 5M
14,Gorillaz,84,3017251,500K-5M
17,Usher,66,7218259,Over 5M
19,Right Said Fred,67,9131,1K-50K
27,Daft Punk,38,5207600,Over 5M
39,Survivor,11,261255,50K-500K
52,Green Day,85,5236059,Over 5M
65,Mariah Carey,120,3449504,500K-5M
66,50 Cent,59,7864905,Over 5M
67,KISS,72,2899350,500K-5M
70,Juanes,104,1624653,500K-5M
81,The Chemical Brothers,94,1456933,500K-5M
91,Missy Elliott,26,844030,500K-5M
98,Evanescence,28,3782463,500K-5M
99,Coolio,25,277920,50K-500K
102,Chris Brown,119,9074335,Over 5M
103,Pharrell Williams,46,3231963,500K-5M
105,Nelly,55,1606839,500K-5M
112,Marc Anthony,43,2605329,500K-5M
113,Rage Against the Machine,10,1977518,500K-5M
115,AC/DC,27,9935817,Over 5M
116,Christina Aguilera,29,3911142,500K-5M
117,Slipknot,40,4141835,500K-5M
119,Metallica,70,8154651,Over 5M
129,R.E.M.,54,2663367,500K-5M
145,Beyoncé,66,12834996,Over 5M
152,Mary J. Blige,83,1524219,500K-5M
160,Shakira,68,11715061,Over 5M
164,Lou Bega,22,33553,1K-50K
165,UB40,36,1177378,500K-5M
166,Stevie Wonder,52,2441357,500K-5M
169,Fleetwood Mac,56,1668230,500K-5M
170,Bryan Adams,77,1751198,500K-5M
174,Whitney Houston,53,3925326,500K-5M
175,Eurythmics,50,824522,500K-5M
181,Talking Heads,32,446066,50K-500K
182,Red Hot Chili Peppers,52,7696473,Over 5M
183,TLC,30,615255,500K-5M
186,Phil Collins,36,2840200,500K-5M
189,Lenny Kravitz,40,1877910,500K-5M
191,Ginuwine,28,273398,50K-500K
192,Eric Clapton,76,2807857,500K-5M
199,Bonnie Raitt,33,45095,1K-50K
207,Electric Light Orchestra,22,473570,50K-500K
210,Eagles,30,1390076,500K-5M
215,Toto,25,980107,500K-5M
229,Sly & The Family Stone,32,120620,50K-500K
248,"Earth, Wind & Fire",34,1266103,500K-5M
258,Montell Jordan,23,63137,50K-500K
259,Michael Jackson,38,13129182,Over 5M
262,Janet Jackson,55,1289949,500K-5M
290,Madonna,145,4907195,500K-5M
305,Kool & The Gang,48,931521,500K-5M
313,John Legend,90,3555020,500K-5M
317,Meat Loaf,27,154625,50K-500K
333,Tim McGraw,45,379170,50K-500K
338,Nickelback,33,3181025,500K-5M
347,Kenny Chesney,49,328973,50K-500K
369,Air,39,341405,50K-500K
385,Kings of Leon,29,2393720,500K-5M
399,Radiohead,45,4091973,500K-5M
409,blink-182,41,2333123,500K-5M
418,Weezer,70,730187,500K-5M
425,Blondie,59,822303,500K-5M
434,Tiësto,376,4093489,500K-5M
458,System of a Down,10,5802234,Over 5M
464,Rammstein,51,2724504,500K-5M
500,Zapp & Roger,4,32276,1K-50K
511,Candy Dulfer,25,40409,1K-50K
520,*NSYNC,15,309327,50K-500K
521,Luther Vandross,32,575777,500K-5M
523,Kenny G,39,406198,50K-500K
527,Extreme,18,98743,50K-500K
533,Judas Priest,40,1249630,500K-5M
542,David Guetta,382,20109932,Over 5M
561,Delerium,27,20919,1K-50K
564,Rihanna,90,18053051,Over 5M
566,Foo Fighters,44,4589186,500K-5M
596,Duran Duran,103,1285632,500K-5M
614,Bing Crosby,69,155491,50K-500K
617,Frank Sinatra,89,2483951,500K-5M
620,Etta James,53,1174089,500K-5M
629,Fugees,6,451390,50K-500K
636,The White Stripes,33,1319733,500K-5M
