artist_name,mb_artist_id,mb_country,mb_type,mb_begin_year,tag,tag_count
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,rock,18
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,heavy metal,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,metal,-4
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,australian,-2
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,band,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,hard rock,49
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,relaxed,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,blues rock,11
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,glam rock,-6
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,classic rock,1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,1980s,-2
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,1970s,-2
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,arena rock,-4
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,rock and roll,1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,english,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,australia,-2
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,blues-rock,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,classic pop and rock,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,australie,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,australien,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,best,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,best rock,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,australian rock,-2
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,capa,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,rock & roll,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,want to listen,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,volts,-3
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,hard & heavy,0
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,+australia (sydney),-4
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not acoustic,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not sad,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not electronic,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not happy,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not aggressive,-1
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,AU,Group,1973,not party,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,pop,0
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,american,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,funk,6
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,soul,14
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,rnb,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,sexual,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,motown,4
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,soul and reggae,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,pop soul,3
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,smooth soul,5
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,the very best of,-2
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,death by murder,-2
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,death by gun,-3
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,multiple ipi,-1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,contemporary r&b,1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,rhythm & blues,1
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,Person,1939,progressive soul,1
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,pop,0
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,spanish,2
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,latin,1
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,english,0
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,reggaeton,3
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,r&b,1
KAROL G,de22adae-f8ac-414f-b653-b0162611bd60,CO,Person,1991,latin urban,2
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,ska,2
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,reggae,23
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,jamaican,0
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,dub,1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,soul,0
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,ambient dub,0
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,roots reggae,9
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,rocksteady,1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,english,0
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,classic pop and rock,-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,soul and reggae,-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,jamaica,0
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,bob-marley,-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,the wailers,-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,do not split,-2
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,reggae music,1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,jamaican ska,1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,split or merge to “the wailers” (keeping ac),-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,soul shakedown party (silk’s downunder mix),-1
Bob Marley & The Wailers,c296e10c-110a-4103-9e77-47bfebb7fb2e,JM,Group,1970,banbarra,0
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,rock,-1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,post-rock,-1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,alternative rock,-1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,progressive rock,2
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,progressive metal,13
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,metal,-1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,alternative metal,11
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,alternative pop,3
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,post-metal,-1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,djent,3
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,art pop,2
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,alternative r&b,1
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,2020s,0
Sleep Token,775ad383-ac2d-479a-af9d-b561442cb749,GB,Group,2016,progressive rock. progressive metal,-3
Grupo Menos É Mais,b6d22fe9-65f7-4992-b537-e6f4c5d77f0e,BR,Group,,,0
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,rock,1
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,funk,7
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,soul,5
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,disco,2
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,soul and reggae,0
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,pop soul,2
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,psychedelic soul,5
Sly & The Family Stone,b7ec4c54-1f93-4bf2-957f-7b9921ab84ea,US,Group,1967,rhythm & blues,2
TOOL,66fc5bf8-daa4-4241-b378-9bc9077939d2,US,Group,1990,rock,6
TOOL,66fc5bf8-daa4-4241-b378-9bc9077939d2,US,Group,1990,electronic,1
TOOL,66fc5bf8-daa4-4241-b378-9bc9077939d2,US,Group,1990,alternative rock,4
